FULL REPORT ABOUT ALL PRODUCTS 
1. Product name: PRODUCT; Info: INFO; Manufacturer: MAN; Current quantity: 25; Price: 17.0; Group: GROUP1
2. Product name: PRODUCT25; Info: INFORMATION ABOUT PRODUCT; Manufacturer: MANUFACTURER; Current quantity: 350; Price: 14.5; Group: GROUP1
3. Product name: DSA; Info: 5521; Manufacturer: DSAD; Current quantity: 220; Price: 15.0; Group: GROUP1
4. Product name: DSAD; Info: DDDSADSA; Manufacturer: DSADSA; Current quantity: 250; Price: 15.0; Group: GROUP1
5. Product name: DSADSADSA; Info: DSADSADSADA; Manufacturer: DSADSADAS; Current quantity: 250; Price: 15.0; Group: GROUP1
6. Product name: PRODUCTION; Info: DSADSAD; Manufacturer: SUPERMANU; Current quantity: 230; Price: 15.0; Group: GROUP1
7. Product name: ADDPRODUCT; Info: DSADSA; Manufacturer: SUPER; Current quantity: 20; Price: 15.0; Group: GROUP1
8. Product name: PRODUCTO; Info: 321321; Manufacturer: PRODUCTIOS; Current quantity: 2310; Price: 15.0; Group: GROUP1
9. Product name: SDSA; Info: 2SDAS; Manufacturer: DSADA; Current quantity: 20; Price: 15.0; Group: GROUP1
10. Product name: GROUPDSDSA; Info: DSADSADA; Manufacturer: DSADSADSA; Current quantity: 2320; Price: 15.0; Group: GROUP1
11. Product name: PRODUCTICCC; Info: DSADASD; Manufacturer: DSADSAD; Current quantity: 250; Price: 15.0; Group: GROUP#2
12. Product name: PRODUCTIOSSSC; Info: DSADAS; Manufacturer: DSADSA2; Current quantity: 220; Price: 15.0; Group: GROUP#2
13. Product name: DSADSA213; Info: DSADSADAS; Manufacturer: DSADSADAS; Current quantity: 250; Price: 15.0; Group: GROUP#2
14. Product name: DSADA; Info: 2SD; Manufacturer: DSAD; Current quantity: 20; Price: 15.0; Group: GROUP1
15. Product name: PRODUCTSDSS; Info: DSA; Manufacturer: DSADAS; Current quantity: 250; Price: 15.0; Group: GROUP#2
16. Product name: PRODUCT1; Info: DSADAS; Manufacturer: DSAD; Current quantity: 2220; Price: 15.0; Group: GROUP1
17. Product name: 1; Info: ; Manufacturer: ; Current quantity: 0; Price: 15.0; Group: GROUP1
18. Product name: DSADSA; Info:  ; Manufacturer:  ; Current quantity: 10; Price: 15.0; Group: GROUP1
19. Product name:  ; Info:  ; Manufacturer:  ; Current quantity: 0; Price: 15.0; Group: GROUP1
20. Product name: œ–Œƒ” “» ; Info: 257; Manufacturer: 2517; Current quantity: 250; Price: 250.0; Group: GROUP#2
21. Product name: DSSSAA; Info: DADAS; Manufacturer: DSA; Current quantity: 0; Price: 0.0; Group: GROUP#2
22. Product name: 2321; Info: 321321321; Manufacturer: 321321; Current quantity: 220; Price: 220.0; Group: GROUP#2
23. Product name: PRODUCCCCC; Info: DSADSA; Manufacturer: 21321; Current quantity: 2320; Price: 2320.0; Group: GROUP#2
24. Product name: DSADSA213321; Info:  ; Manufacturer:  ; Current quantity: 220; Price: 220.0; Group: GROUP1
25. Product name: DSADSADSA21321; Info: SADSADAD; Manufacturer: DSADSADSAD; Current quantity: 220; Price: 2220.0; Group: GROUP1
26. Product name: NEWPRODUCT; Info: SSDS; Manufacturer: MANUF; Current quantity: 220; Price: 220.0; Group: GROUP3
